Address,City,ZIP,Num_Employers,Total_LCAs,Workers,Employers
6565 Headquarters Dr,Plano,75024,20,29,29,"Quality Matrix, Inc.; Zionzest LLC; ENTMATRIX, INC.; Cognitive Minds Inc; Tekbiz Solutions LLC"
2 Destiny Way,Westlake,76262,18,42,57,"Digital Intelligence Systems, LLC; IT America, Inc.; COMPUNNEL SOFTWARE GROUP, INC; Eliassen Group, LLC; PMG GLOBAL CORPORATION"
6565 Headquarters Drive,Plano,75024,16,33,33,"Ascentt Systems Inc.; IBM Corporation; Tata Consultancy Services Limited; Hexaware Technologies, Inc.; QUEST GLOBAL SERVICES- N.A., INC."
1 Destiny Way,Westlake,76262,14,44,109,Elit It Inc; Propelsys Technologies LLC; Capgemini America Inc; Palayekar Companies Inc; Aanvi Cloud Technologies Inc
1-2 Destiny Way,Westlake,76262,14,153,153,"Fidelity Technology Group, LLC; FMR LLC; Fidelity Investments Institutional Operations Company; Fidelity Brokerage Services LLC; Fidelity Workplace Investing"
6625 Excellence Way,Plano,75023,14,43,44,"Adi Worldlink LLC; Epitec, Inc.; NextGen Global Resources, LLC; Lasai Technologies LLC; Samsung Electronics America, Inc."
507 E Howard Ln,Austin,78753,11,90,128,"INFOSYS LIMITED; Marlabs LLC; Pantar Solutions Inc; XCELO GROUP INC; COMPUNNEL SOFTWARE GROUP, INC"
1 Transformation Way,Fort Worth,76155,10,45,45,"American Airlines, Inc.; InnoCore Solutions, Inc; XGARE TECHNOLOGIES LLC; Kanap Systems LLC; Kanap Systems, LLC"
6555 Excellence Way,Plano,75023,9,21,21,"Hexaware Technologies, Inc.; Savvients Inc; Unisoft Solutions LLC; Samsung Electronics America, Inc.; XYLO CONSULTING LLC"
2702 Love Field Dr,Dallas,75235,9,18,18,Accenture LLP; Southwest Airlines Co.; Code Gravity LLC; Neoitek Systems Inc.; DONATO TECHNOLOGIES INC
2702 Love Field Drive,Dallas,75235,9,32,32,LTIMINDTREE LIMITED; Southwest Airlines Co.; Accenture LLP; MYTHRI CONSULTING LLC; Advanity Technologies LLC
7700 W Parmer Ln,Austin,78729,9,13,13,"ABAL Technologies Inc; HP Inc.; ZionTech Solutions, Inc.; EALEARN INC; HCL AMERICA INC"
13929 Center Lake Drive,Austin,78753,8,30,30,"TATA CONSULTANCY SERVICES LIMITED; SBase Technologies, Inc.; Qualcomm Technologies, Inc.; Tata Consultancy Services Limited; Zanders US, Inc."
3000 Schwab Way,Westlake,76262,8,64,70,"Charles Schwab & Company, Inc.; Mphasis Corporation; CloudCubesystems LLC; COMPUNNEL SOFTWARE GROUP INC.; COGNIZANT TECHNOLOGY SOLUTIONS US CORP"
Two Destiny Way,Westlake,76262,8,24,24,"COMPUNNEL SOFTWARE GROUP, INC; EDVENSWA TECH INC; V-Soft Consulting Group, INC; Yoh, A Day & Zimmermann Company; Beacon Hill Staffing Group LLC"
13929 Center Lake Dr,Austin,78753,8,18,20,"Advanced Resource Staffing Inc; Qualcomm Technologies, Inc.; VARIYAS GLOBAL SOLUTIONS INC; DGN Technologies, Inc; TATA CONSULTANCY SERVICES LIMITED"
1001 E Lookout Dr,Richardson,75082,7,12,16,"INFOSYS LIMITED; HEALTH CARE SERVICE CORPORATION; TATA CONSULTANCY SERVICES LIMITED; N2Force Technologies Inc; i-Link Solutions, Inc."
11800 Schwab Way,Austin,78758,7,58,64,"Charles Schwab & Company, Inc.; INFOSYS LIMITED; COGNIZANT TECHNOLOGY SOLUTIONS US CORP; Mphasis Corporation ; Mphasis Corporation"
One Dell Way,Round Rock,78682,7,72,72,"EMC Corporation; Dell USA L.P.; Dell Products L.P.; Dell Marketing L.P.; SecureWorks, Inc."
One Destiny Way,Westlake,76262,7,38,38,"COMPUNNEL SOFTWARE GROUP, INC; PeopleSERVE, Inc; Quad IT, Inc.; Yoh, A Day & Zimmermann Company; RANDSTAD DIGITAL, LLC"
5601 Legacy Drive,Plano,75024,6,23,23,HCL AMERICA INC; Tata Consultancy Services Limited; United Services Automobile Association; Akshaya Inc.; TATA CONSULTANCY SERVICES LIMITED
7701 Legacy Drive,Plano,75024,6,7,7,"TATA CONSULTANCY SERVICES LIMITED; Rolling Frito-Lay Sales, LP; PEPSICO, INC.; FRITO-LAY, INC.; IBM Corporation"
7950 Legacy Drive,Plano,75024,6,21,21,"NTT DATA Americas, Inc.; Albany Information Technology Group, LLC; CitiusTech Inc.; NTT DATA Services, LLC; Fundbox, Inc."
8401 Memorial Ln,Plano,75024,6,7,7,"S3Vision, Inc.; SHIRO TECHNOLOGIES, LLC; ELXR Technologies LLC; LILLI TECHNOLOGY LLC; Singular Analysts Inc"
2 DESTINY WAY,WESTLAKE,76262,6,20,128,"KFORCE INC. ; S4SOFT INC; PHOTON INFOTECH, INC.; CAPGEMINI AMERICA INC; SPURCROFT INC."
14901 Quorum Dr,Dallas,75254,6,10,10,"EPAM Systems Inc.; GlobalLogic Inc.; Vensa Tek LLC; USM Business Systems Inc; Ana-Data Consulting, Inc."
1 DESTINY WAY,WESTLAKE,76262,6,35,196,"Mastech Digital Technologies, Inc.; KFORCE INC. ; COMPUNNEL SOFTWARE GROUP, INC; CAPGEMINI AMERICA INC; RAY TECHNO SOLUTIONS INC."
1 Skyview Drive,Fort Worth,76155,6,48,48,"InnoCore Solutions, Inc; American Airlines, Inc.; Tecra Systems, Inc; Vision IT USA Inc.; Purple Web Inc"
1 Skyview Dr,Fort Worth,76155,6,8,8,"Etekserve Inc; KODESYSTEMS LLC; OMA4 LLC; DELTACUBES TECHNOLOGY LLC; COMPUNNEL SOFTWARE GROUP, INC"
