2026-01-30 22:18:28  bot         INFO     🚀  Starting Alpaca Crypto Bot
2026-01-30 22:18:28  bot         INFO        Symbols: BTC/USD, ETH/USD
2026-01-30 22:18:28  bot         INFO        Poll interval: 60s
2026-01-30 22:18:29  bot         INFO        Account: b4097985-f012-4870-814c-64ade7748bc2 | Equity: $100,000.00 | Status: AccountStatus.ACTIVE
2026-01-30 22:18:29  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 22:18:29  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 22:19:37  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 22:19:37  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 22:20:45  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 22:20:45  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 22:21:53  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 22:21:53  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 22:23:01  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 22:23:01  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 22:24:09  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 22:24:09  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 22:25:17  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 22:25:18  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 22:26:26  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 22:26:26  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 22:27:34  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 22:27:34  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 22:28:42  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 22:28:42  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 22:29:50  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 22:29:50  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 22:30:59  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 22:30:59  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 22:32:07  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 22:32:07  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 22:33:15  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 22:33:15  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 22:34:23  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 22:34:23  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 22:35:31  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 22:35:31  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 22:36:39  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 22:36:39  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 22:37:47  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 22:37:47  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 22:38:55  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 22:38:55  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 22:40:03  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 22:40:03  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 22:41:11  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 22:41:11  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 22:42:19  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 22:42:19  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 22:43:27  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 22:43:27  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 22:44:35  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 22:44:35  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 22:45:43  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 22:45:43  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 22:46:51  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 22:46:51  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 22:47:59  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 22:47:59  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 22:49:07  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 22:49:07  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 22:50:16  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 22:50:16  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 22:51:24  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 22:51:24  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 22:52:32  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
2026-01-30 22:52:32  bot         INFO     📊 ETH/USD HOLD — RSI 60.1, EMA $2690.21, price $2695.85 | No crossover detected
2026-01-30 22:53:40  bot         INFO     📊 BTC/USD HOLD — RSI 37.7, EMA $83918.05, price $83849.80 | No crossover detected
